mop type,fu,transfer_Type_mem,transfer_type_reg,mnemonic
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,ADD
,,,,invalid
,,,,invalid
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,OR
,,,,invalid
,,,,Two-byte Instructions 
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,ADC
,,,,invalid
,,,,invalid
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,SBB
,,,,invalid
,,,,invalid
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,AND
,,,,null
,,,,invalid
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,SUB
,,,,null
,,,,invalid
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,XOR
,,,,null
,,,,invalid
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,CMP
,,,,null
,,,,invalid
ignore,,,,REX
ignore,,,,REX.B
ignore,,,,REX.X
ignore,,,,REX.XB
ignore,,,,REX.R
ignore,,,,REX.RB
ignore,,,,REX.RX
ignore,,,,REX.RXB
ignore,,,,REX.W
ignore,,,,REX.WB
ignore,,,,REX.WX
ignore,,,,REX.WXB
ignore,,,,REX.WR
ignore,,,,REX.WRB
ignore,,,,REX.WRX
ignore,,,,REX.WRXB
pushPop,IntAlu,int,-,PUSH
pushPop,IntAlu,int,-,POP
,,,,invalid
,,,,invalid
,,,,invalid
consistentMov,,int,int,MOVSXD
ignore,,,,FS
ignore,,,,GS
,,,,no mnemonic
,,,,no mnemonic
,,,,no mnemonic
pushPop,IntAlu,int,-,PUSH
consistentComp,IntMult,,,IMUL
pushPop,IntAlu,int,-,PUSH
consistentComp,IntMult,,,IMUL
ignore,,,,INS
ignore,,,,
ignore,,,,INS
ignore,,,,
ignore,,,,INS
ignore,,,,
ignore,,,,OUTS
ignore,,,,
ignore,,,,OUTS
ignore,,,,
ignore,,,,OUTS
ignore,,,,
jmpInstr,IntAlu,,,JO
jmpInstr,IntAlu,,,JNO
jmpInstr,IntAlu,,,JB
jmpInstr,IntAlu,,,JNAE
jmpInstr,IntAlu,,,JC
jmpInstr,IntAlu,,,JNB
jmpInstr,IntAlu,,,JAE
jmpInstr,IntAlu,,,JNC
jmpInstr,IntAlu,,,JZ
jmpInstr,IntAlu,,,JE
jmpInstr,IntAlu,,,JNZ
jmpInstr,IntAlu,,,JNE
jmpInstr,IntAlu,,,JBE
jmpInstr,IntAlu,,,JNA
jmpInstr,IntAlu,,,JNBE
jmpInstr,IntAlu,,,JA
jmpInstr,IntAlu,,,JS
jmpInstr,IntAlu,,,JNS
jmpInstr,IntAlu,,,JP
jmpInstr,IntAlu,,,JPE
jmpInstr,IntAlu,,,JNP
jmpInstr,IntAlu,,,JPO
jmpInstr,IntAlu,,,JL
jmpInstr,IntAlu,,,JNGE
jmpInstr,IntAlu,,,JNL
jmpInstr,IntAlu,,,JGE
jmpInstr,IntAlu,,,JLE
jmpInstr,IntAlu,,,JNG
jmpInstr,IntAlu,,,JNLE
jmpInstr,IntAlu,,,JG
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,CMP
,,,,invalid
consistentComp,IntAlu,,,ADD
consistentComp,IntAlu,,,OR
consistentComp,IntAlu,,,ADC
consistentComp,IntAlu,,,SBB
consistentComp,IntAlu,,,AND
consistentComp,IntAlu,,,SUB
consistentComp,IntAlu,,,XOR
consistentComp,IntAlu,,,CMP
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,TEST
consistentMov,,int,int,XCHG
consistentMov,,int,int,XCHG
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,LEA
consistentMov,,int,int,MOV
consistentMov,,int,int,POP
consistentMov,,int,int,POP
consistentMov,,int,int,XCHG
ignore,,,,NOP
ignore,,,,PAUSE
ignore,,,,CBW
ignore,,,,
ignore,,,,
ignore,,,,CWD
ignore,,,,
ignore,,,,
,,,,invalid
,,,,FWAIT
,,,,
,,,,no mnemonic
ignore,,,,PUSHF
ignore,,,,
ignore,,,,POPF
ignore,,,,
ignore,,,,SAHF
ignore,,,,LAHF
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
consistentMov,,int,int,MOV
ignore,,,,MOVS
ignore,,,,
ignore,,,,MOVS
ignore,,,,
ignore,,,,
ignore,,,,
ignore,,,,CMPS
ignore,,,,
ignore,,,,CMPS
ignore,,,,
ignore,,,,
ignore,,,,
consistentComp,IntAlu,,,TEST
consistentComp,IntAlu,,,TEST
ignore,,,,STOS
,,,,
ignore,,,,STOS
,,,,
ignore,,,,
,,,,
ignore,,,,LODS
,,,,
ignore,,,,LODS
,,,,
ignore,,,,
,,,,
ignore,,,,SCAS
,,,,
ignore,,,,SCAS
,,,,
ignore,,,,
,,,,
ignore,,,,MOV
,,,,MOV
consistentComp,IntAlu,,,ROL
consistentComp,IntAlu,,,ROR
consistentComp,IntAlu,,,RCL
consistentComp,IntAlu,,,RCR
consistentComp,IntAlu,,,SHL
consistentComp,IntAlu,,,SAL
consistentComp,IntAlu,,,SHR
consistentComp,IntAlu,,,SAL
consistentComp,IntAlu,,,SHL
consistentComp,IntAlu,,,SAR
consistentComp,IntAlu,,,ROL
consistentComp,IntAlu,,,ROR
